"filename", "language", "XML", "C#", "ASP.NET Razor", "JavaScript", "JSON", "PostCSS", "Markdown", "Properties", "JSON with Comments", "comment", "blank", "total"
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_SegumientoPuerperio.cs", "C#", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 22, 214
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_TipoAyudaDiagnostica.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_TipoEncuentro.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 6, 63
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Usuario.cs", "C#", 0, 244, 0, 0, 0, 0, 0, 0, 0, 15, 62, 321
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_UsuarioRol.cs", "C#", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 19, 111
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ViaParto.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\bin\Debug\net8.0\CapaAccesoDatos.deps.json", "JSON", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 137
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\CapaAccesoDatos.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 154
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\CapaAccesoDatos.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\CapaAccesoDatos.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
